Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
2,1,40,1,42
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
1,1,40,1,41
6,0.1,39,1,39.6
4,0.1,39,1,39.4
4,0.1,39,1,39.4
4,0.1,39,1,39.4
4,0.1,39,1,39.4
4,0.1,39,1,39.4
4,0.1,39,1,39.4
4,0.1,39,1,39.4
4,0.1,39,1,39.4
3,0.1,39,1,39.3
3,0.1,39,1,39.3
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
2,0.1,39,1,39.2
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
1,0.1,39,1,39.1
